,qid,docno,score
0,1000005,8564641,0.8653166890144348
1,1000005,6952681,0.8160663843154907
2,1000005,8564649,0.7979452610015869
3,1000005,4452279,0.7761694192886353
4,1000005,3617175,0.6997987031936646
5,1000005,7871705,0.6880372762680054
6,1000005,2102171,0.6810317039489746
7,1000005,8564643,0.678735077381134
8,1000005,185840,0.6693133115768433
9,1000005,4174900,0.648004412651062
10,1000005,2102172,0.6451706290245056
11,1000005,2483033,0.641269326210022
12,1000005,3617179,0.6369001865386963
13,1000005,2043811,0.6299378275871277
14,1000005,1467999,0.6248718500137329
15,1000005,8564642,0.623897910118103
16,1000005,3617173,0.62334805727005
17,1000005,3617171,0.6228781342506409
18,1000005,185841,0.6172290444374084
19,1000005,2483035,0.6159616708755493
20,1000005,5939245,0.6117416620254517
21,1000005,7938895,0.6075847148895264
22,1000005,4630854,0.6018959283828735
23,1000005,3435849,0.6018856167793274
24,1000005,6952683,0.6010069251060486
25,1000005,103526,0.6000010967254639
26,1000005,103531,0.5973225235939026
27,1000005,5884217,0.5897732377052307
28,1000005,6911297,0.5873778462409973
29,1000005,8583626,0.5785250663757324
30,1000005,6602128,0.5765765309333801
31,1000005,8564644,0.5722385048866272
32,1000005,2270770,0.5698012709617615
33,1000005,2917653,0.5651347041130066
34,1000005,5463200,0.5642542243003845
35,1000005,3617174,0.5588368773460388
36,1000005,8583624,0.557781994342804
37,1000005,8564648,0.556498646736145
38,1000005,8564646,0.5550327897071838
39,1000005,2102173,0.5531966686248779
40,1000005,5884211,0.5515732765197754
41,1000005,2307536,0.542651891708374
42,1000005,4174905,0.5370689630508423
43,1000005,5884210,0.5363430976867676
44,1000005,4452281,0.531305730342865
45,1000005,6952684,0.5307518839836121
46,1000005,8583630,0.5306772589683533
47,1000005,5939249,0.5295261740684509
48,1000005,2270771,0.5272119641304016
49,1000005,709484,0.525271475315094
50,1000005,185845,0.5237911939620972
51,1000005,4174904,0.523341178894043
52,1000005,4452275,0.5224639177322388
53,1000005,8583631,0.5193548798561096
54,1000005,5884215,0.5180314779281616
55,1000005,5939244,0.5169840455055237
56,1000005,6952680,0.5168607831001282
57,1000005,6911292,0.5138261318206787
58,1000005,5087046,0.5128406286239624
59,1000005,5500921,0.5100745558738708
60,1000005,1991357,0.509772777557373
61,1000005,1170308,0.5075595378875732
62,1000005,5006340,0.5071091651916504
63,1000005,5884216,0.5018607974052429
64,1000005,6952682,0.5015457272529602
65,1000005,5087048,0.5006746053695679
66,1000005,4630855,0.5005915760993958
67,1000005,3324900,0.5005078911781311
68,1000005,103527,0.49973687529563904
69,1000005,4411452,0.4988827407360077
70,1000005,2707661,0.49850744009017944
71,1000005,8564647,0.49700796604156494
72,1000005,591579,0.4965038001537323
73,1000005,737971,0.4956203103065491
74,1000005,3617177,0.4946075975894928
75,1000005,1467998,0.49445292353630066
76,1000005,5224152,0.49303892254829407
77,1000005,2617871,0.49219638109207153
78,1000005,6952685,0.490049809217453
