,qid,docno,score
0,1000005,8564641,0.8571133613586426
1,1000005,8564649,0.8531830310821533
2,1000005,4452279,0.8062906265258789
3,1000005,6952681,0.7736836671829224
4,1000005,4174900,0.7279481887817383
5,1000005,3617175,0.7191404104232788
6,1000005,8564642,0.7184653282165527
7,1000005,8564643,0.7152212858200073
8,1000005,3617171,0.7105414867401123
9,1000005,185840,0.7088643908500671
10,1000005,2043811,0.70599365234375
11,1000005,1467999,0.7055901288986206
12,1000005,5939245,0.6989141702651978
13,1000005,4630854,0.6895589828491211
14,1000005,3435849,0.6894754767417908
15,1000005,7871705,0.6666030883789062
16,1000005,1467998,0.6618149876594543
17,1000005,185841,0.6617316603660583
18,1000005,1467993,0.6599222421646118
19,1000005,2102171,0.6597408056259155
20,1000005,5463200,0.658973217010498
21,1000005,6911297,0.656638503074646
22,1000005,6911292,0.6547152400016785
23,1000005,2483035,0.654241144657135
24,1000005,5884210,0.6470503211021423
25,1000005,8564648,0.646449863910675
26,1000005,5939244,0.6395804286003113
27,1000005,8466499,0.6359136700630188
28,1000005,2102172,0.6351231932640076
29,1000005,3617174,0.6331115365028381
30,1000005,5884217,0.6324201226234436
31,1000005,3617179,0.6296433210372925
32,1000005,5939249,0.6269766092300415
33,1000005,2270770,0.626433253288269
34,1000005,4630855,0.6203116178512573
35,1000005,3617173,0.6179344058036804
36,1000005,6602128,0.6169049143791199
37,1000005,5087046,0.6136142611503601
38,1000005,709484,0.6114517450332642
39,1000005,2483033,0.6081844568252563
40,1000005,2917653,0.6067538261413574
41,1000005,4174904,0.6014944911003113
42,1000005,6952683,0.6001606583595276
43,1000005,5884216,0.599901020526886
44,1000005,8564646,0.5984121561050415
45,1000005,1141828,0.5945180654525757
46,1000005,185842,0.5929775834083557
47,1000005,5884215,0.5928049087524414
48,1000005,8583630,0.5817885994911194
49,1000005,2534025,0.579870343208313
50,1000005,1991359,0.5784391760826111
51,1000005,2102173,0.5779295563697815
52,1000005,1991360,0.577887237071991
53,1000005,5884212,0.5772863030433655
54,1000005,5087048,0.573113739490509
55,1000005,7938895,0.5698776841163635
56,1000005,185845,0.5698396563529968
57,1000005,8583631,0.5674907565116882
58,1000005,4174905,0.5658366084098816
59,1000005,2307536,0.5649617314338684
60,1000005,2617871,0.5631833672523499
61,1000005,3435848,0.5613031983375549
62,1000005,2917654,0.5552833080291748
63,1000005,2707661,0.5532066226005554
64,1000005,2917656,0.5514405369758606
65,1000005,2917657,0.5492766499519348
66,1000005,1991358,0.547158420085907
67,1000005,6952685,0.5464641451835632
68,1000005,3697278,0.5464468002319336
69,1000005,4452281,0.5432525873184204
70,1000005,6911293,0.5423154830932617
71,1000005,4411450,0.5386895537376404
72,1000005,5006338,0.5384937524795532
73,1000005,4411453,0.5380830764770508
74,1000005,3324900,0.5379939079284668
75,1000005,1991366,0.5363509654998779
76,1000005,7314931,0.536217451095581
77,1000005,8466500,0.5353715419769287
78,1000005,8466498,0.534391462802887
79,1000005,2102175,0.5343121290206909
80,1000005,8767960,0.532943844795227
81,1000005,8564647,0.5324484705924988
82,1000005,1282852,0.5321495532989502
83,1000005,3590416,0.5306933522224426
84,1000005,1991357,0.5289798378944397
85,1000005,2270769,0.5285539627075195
86,1000005,2757687,0.5270130038261414
87,1000005,6602125,0.5251889228820801
88,1000005,3617177,0.5249388217926025
89,1000005,6952680,0.5238389372825623
90,1000005,7679836,0.521637499332428
91,1000005,6602127,0.5212937593460083
92,1000005,1479483,0.5207091569900513
93,1000005,4126519,0.5203667879104614
94,1000005,4174906,0.5198317170143127
95,1000005,6364317,0.5196777582168579
96,1000005,4174897,0.5164988040924072
97,1000005,806338,0.5152315497398376
98,1000005,103526,0.5147918462753296
99,1000005,8686069,0.514288604259491
100,1000005,8583626,0.5139431357383728
101,1000005,2352811,0.5125859379768372
102,1000005,4411452,0.5120759606361389
103,1000005,2853147,0.5116708278656006
